Date,Open,High,Low,Close,Adj Close,Volume,Return
3/25/21,613,645.5,609.5,640.390015,640.390015,39224850,10.119995
3/26/21,641.869995,643.820007,599.890015,618.710022,618.710022,33852827,-21.679993
3/29/21,615.640015,616.47998,596.02002,611.289978,611.289978,28636985,-7.420044
3/30/21,601.75,637.659973,591.01001,635.619995,635.619995,39432359,24.330017
3/31/21,646.619995,672,641.109985,667.929993,667.929993,33337288,32.309998
4/1/21,688.369995,692.420288,659.419983,661.75,661.75,35298378,-6.179993
4/5/21,707.710022,708.159973,684.700012,691.049988,691.049988,41842767,29.299988
4/6/21,690.299988,696.549988,681.369995,691.619995,691.619995,28271839,0.570007
4/7/21,687,691.380005,667.840027,670.969971,670.969971,26309433,-20.650024
4/8/21,677.380005,689.549927,671.64502,683.799988,683.799988,23924329,12.830017
4/9/21,677.77002,680.969971,669.429993,677.02002,677.02002,21437087,-6.779968
4/12/21,685.700012,704.799988,682.090027,701.97998,701.97998,29135670,24.95996
4/13/21,712.700012,763,710.659973,762.320007,762.320007,44652808,60.340027
4/14/21,770.700012,780.789978,728.030029,732.22998,732.22998,49017434,-30.090027
4/15/21,743.099976,743.690002,721.309998,738.849976,738.849976,27848900,6.619996
4/16/21,728.650024,749.409973,724.599976,739.780029,739.780029,27979526,0.930053
4/19/21,719.599976,725.400024,691.80011,714.630005,714.630005,39686226,-25.150024
4/20/21,717.419983,737.25,710.684998,718.98999,718.98999,35609038,4.359985
4/21/21,704.77002,744.840027,698,744.119995,744.119995,31215514,25.130005
4/22/21,741.5,753.77002,718.039978,719.690002,719.690002,35590255,-24.429993
4/23/21,719.799988,737.359985,715.460022,729.400024,729.400024,28413889,9.710022
4/26/21,741,749.299988,732.605286,738.200012,738.200012,31038502,8.799988
4/27/21,717.960022,724,703.350098,704.73999,704.73999,29436995,-33.460022
4/28/21,696.409973,708.5,693.599976,694.400024,694.400024,22271047,-10.339966
4/29/21,699.51001,702.25,668.500183,677,677,28845449,-17.400024
4/30/21,667.590027,715.469971,666.140015,709.440002,709.440002,40758722,32.440002
