date,status,value
2021-04-12T21:00Z,404,918
2021-04-12T21:15Z,200,11087
2021-04-12T21:15Z,304,3279
2021-04-12T21:15Z,404,747
2021-04-12T21:15Z,302,413
2021-04-12T21:30Z,200,10943
2021-04-12T21:30Z,304,3612
2021-04-12T21:30Z,302,2413
2021-04-12T21:30Z,404,697
2021-04-12T21:45Z,200,10180
2021-04-12T21:45Z,302,4491
2021-04-12T21:45Z,304,3102
2021-04-12T21:45Z,404,902
2021-04-12T21:45Z,499,964
2021-04-12T22:00Z,200,9655
2021-04-12T22:00Z,304,2893
2021-04-12T22:00Z,404,1538
2021-04-12T22:00Z,302,1552
2021-04-12T22:15Z,200,10769
2021-04-12T22:15Z,304,3489
2021-04-12T22:15Z,404,2731
2021-04-12T22:15Z,302,719
2021-04-12T22:15Z,503,518
2021-04-12T22:30Z,200,8532
2021-04-12T22:30Z,304,3207
2021-04-12T22:30Z,404,589
2021-04-12T22:30Z,302,601
2021-04-12T22:45Z,200,7171
2021-04-12T22:45Z,304,2860
2021-04-12T22:45Z,302,2070
2021-04-12T22:45Z,404,680
2021-04-12T23:00Z,200,9630
2021-04-12T23:00Z,304,2906
2021-04-12T23:00Z,404,1347
2021-04-12T23:00Z,302,435
2021-04-12T23:00Z,499,652
2021-04-12T23:15Z,200,8912
2021-04-12T23:15Z,304,3412
2021-04-12T23:15Z,404,1772
2021-04-12T23:15Z,302,1306
2021-04-12T23:30Z,200,10912
2021-04-12T23:30Z,304,3669
2021-04-12T23:30Z,302,1984
2021-04-12T23:30Z,404,1055
2021-04-12T23:45Z,200,8984
2021-04-12T23:45Z,304,3551
2021-04-12T23:45Z,404,1113
2021-04-12T23:45Z,302,317
2021-04-13,200,7792
2021-04-13,304,2459
2021-04-13,404,1425
2021-04-13,302,708
2021-04-13,499,952
2021-04-13T00:15Z,200,8359
2021-04-13T00:15Z,304,2662
2021-04-13T00:15Z,404,1581
